ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Utkarsh Bhavsar,60,5,2,1,1
2,2,Anya Kohli,69,1,2,1,2
3,3,Ati Sunder,58,3,4,2,2
4,4,Vanya Kunda,36,4,4,2,1
5,5,Yoshita Nayar,30,3,2,4,2
6,6,Vansha Tailor,41,3,1,1,2
7,7,Harish Khatri,65,4,3,2,1
8,8,Upma Amble,41,1,1,1,2
9,9,Triveni Mammen,42,2,4,3,2
10,10,Ekalinga Menon,45,2,2,1,2
11,11,Tarak Chad,60,4,3,3,1
12,12,Gavin Bandi,48,2,1,2,1
13,13,Hamsini Buch,61,4,3,4,2
14,14,Ekani Hans,67,2,4,1,2
15,15,Ryan Saraf,30,2,4,3,1
16,16,Arin Datta,51,1,3,4,1
17,17,Adya Prabhakar,52,2,2,1,2
18,18,Neel Murthy,56,4,3,2,2
19,19,Lavanya Gala,59,4,2,1,2
20,20,Samaksh Bala,25,5,1,1,2
21,21,Harish Sandal,34,1,1,1,2
22,22,Geetika Cheema,64,1,2,1,1
23,23,Ayushman Kade,18,1,1,3,1
24,24,Ekiya Bhakta,29,2,1,2,1
25,25,Ucchal Deshmukh,33,4,2,3,2
26,26,Chameli Sarraf,49,1,1,2,1
27,27,Tanay Tiwari,56,2,2,3,2
28,28,Maanav Chaudhari,22,3,2,3,2
29,29,Aarna Sharaf,21,3,2,2,1
30,30,Vasatika Rama,48,1,2,2,1
31,31,David Raman,42,3,2,1,1
32,32,Yashvi Naidu,70,3,3,4,2
33,33,Naveen Virk,32,5,2,2,1
34,34,Hemal Dass,31,1,3,1,2
35,35,Upkaar Ben,23,3,3,3,2
36,36,Ayushman Chanda,27,2,4,3,1
37,37,Jairaj Bajaj,19,1,1,3,1
38,38,Amaira Toor,36,2,2,1,2
39,39,Lakshit Bala,31,2,2,2,2
40,40,Victor Bora,32,1,4,2,2
41,41,Mugdha Hora,52,1,1,4,2
42,42,Widisha Krishna,52,3,1,4,1
43,43,Balendra Batra,60,1,3,2,2
44,44,Chanchal Natt,31,2,3,1,1
45,45,Reva Mohan,55,3,1,1,1
46,46,Vedant Vala,26,5,1,4,1
47,47,Vedant Menon,46,4,1,4,1
48,48,Hredhaan Devan,33,3,2,4,2
49,49,Faras Om,59,2,4,1,2
50,50,Inaya Iyengar,24,2,2,1,2
51,51,Falak Shanker,32,1,3,3,1
52,52,Hemangini Varkey,33,4,2,3,1
53,53,Advik Madan,44,4,3,1,2
54,54,Nitesh Balasubramanian,30,1,2,2,2
55,55,Ekaraj Gill,23,3,3,1,1
56,56,Chaitaly Seth,41,3,1,2,1
57,57,Yatan Ratta,33,4,3,4,2
58,58,Bimala Edwin,56,5,2,3,2
59,59,Ekaraj Saxena,56,2,3,2,2
60,60,Champak Behl,62,5,4,2,2
61,61,Waida Nayak,51,4,2,2,1
62,62,Gautami Tara,23,5,1,3,1
63,63,Gavin Sankaran,35,2,2,3,2
64,64,Raksha Sachar,39,2,4,3,1
65,65,Kashvi Comar,48,5,1,1,2
66,66,Yatan Rai,45,2,4,2,1
67,67,Sai Sahota,50,5,4,1,2
68,68,Robert Tiwari,60,2,1,3,2
69,69,Dhriti Peri,32,2,2,3,2
70,70,Eiravati Sandal,70,1,1,4,1
71,71,Advay Madan,34,4,3,1,2
72,72,Sai Sura,59,2,1,3,2
73,73,Aishani Chaudhary,35,5,2,3,2
74,74,Theodore Lad,40,3,3,1,1
75,75,Wyatt Chad,38,4,3,4,1
76,76,Edhitha Manda,24,4,2,1,1
77,77,Kritika Misra,58,1,3,1,1
78,78,Chakradev Kala,30,3,4,1,2
79,79,Balhaar Parekh,70,4,4,2,1
80,80,Avni Manda,67,2,2,2,2
81,81,Jack Ganguly,18,2,2,1,1
82,82,Janya Anne,41,3,4,3,1
83,83,Yashodhara Prakash,51,1,3,2,1
84,84,Harish Karpe,49,3,2,1,2
85,85,Madhav Wali,50,5,2,2,2
86,86,Oliver Chanda,67,5,4,3,1
87,87,Ekalinga Merchant,56,5,3,2,2
88,88,Brinda Ganesh,64,2,3,3,2
