EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,14,116,3,1,KGID57052,Bhavani,1974-08-03,2,1,0,2020-11-05
2,27,223,3,3,KGID70217,Robert,1998-05-03,2,2,0,2007-03-20
3,31,257,3,3,KGID48427,Sachi,1983-10-12,2,4,0,2006-10-02
4,17,137,1,3,KGID19116,Patrick,1977-09-17,1,5,0,2019-10-27
5,1,6,1,1,KGID40512,Ubika,1985-11-11,2,5,0,2025-02-18
6,20,167,4,2,KGID93320,Januja,1984-02-29,1,6,0,2014-01-06
7,14,117,4,2,KGID37460,Laban,1982-05-19,1,3,0,2023-01-28
8,23,189,2,3,KGID42087,Akshay,1980-10-12,2,5,0,2017-12-27
9,30,250,5,3,KGID83000,Samaksh,1992-03-10,2,1,0,2012-03-02
10,31,254,3,1,KGID14207,Vinaya,1998-11-02,2,5,0,2010-11-23
11,31,260,6,1,KGID37653,Amara,1998-05-29,2,4,0,2019-12-16
12,10,91,3,3,KGID75435,Agastya,1970-05-29,2,3,0,2021-02-18
13,8,75,2,2,KGID28301,Ekansh,1997-01-16,2,7,0,2022-04-05
14,8,74,3,3,KGID62350,Gavin,1969-04-05,1,8,0,2015-05-28
15,6,61,3,1,KGID16175,Sachi,1978-09-09,1,3,0,2013-10-02
16,28,236,4,3,KGID65333,Utkarsh,1978-09-02,2,7,0,2018-01-13
17,19,156,6,3,KGID71348,Ranveer,1977-01-07,1,2,0,2020-11-23
18,20,167,6,3,KGID80381,Jonathan,1995-12-16,2,2,0,2009-05-03
19,23,188,4,2,KGID66985,Wahab,1968-03-17,1,5,0,2024-11-26
20,18,146,5,3,KGID33416,Atharv,1999-12-10,1,5,0,2018-06-17
21,24,197,4,3,KGID76540,Isaac,1989-09-02,1,6,0,2008-11-19
22,1,1,3,1,KGID80697,Anusha,1993-03-19,1,6,0,2007-08-10
23,26,222,6,2,KGID12552,Jatin,1974-05-02,2,5,0,2007-03-31
24,13,112,6,1,KGID17592,Faraj,1975-09-01,1,2,0,2010-11-05
25,15,121,6,3,KGID73699,Vritti,1990-04-30,1,3,0,2010-06-11
26,24,199,5,3,KGID72296,Janani,1983-05-17,1,5,0,2015-04-09
27,14,113,3,3,KGID89507,Qarin,1973-04-05,1,4,0,2010-06-13
28,20,166,3,3,KGID50857,Finn,2000-05-17,2,8,0,2017-02-18
29,5,29,1,3,KGID69177,Chatura,1987-03-29,1,2,0,2007-06-05
30,23,187,4,2,KGID12757,Nachiket,1987-02-21,1,4,0,2019-04-28
31,19,158,1,1,KGID19305,Rushil,1999-08-02,1,4,0,2013-04-19
32,18,148,2,1,KGID14117,Bishakha,1987-09-12,1,4,0,2014-10-25
33,14,114,4,2,KGID97684,Charan,1991-04-10,1,8,0,2016-10-23
34,20,169,2,1,KGID71993,Dipta,1994-08-23,1,2,0,2007-12-13
35,8,76,4,1,KGID96374,Oscar,1985-09-04,2,7,0,2021-02-15
36,7,69,3,2,KGID17100,Qasim,1969-11-23,1,1,0,2023-10-07
37,12,99,6,2,KGID54473,Panini,1967-12-25,1,4,0,2020-11-04
38,18,146,5,1,KGID34931,Yash,1971-02-21,1,7,0,2021-04-20
39,24,201,4,1,KGID46509,Pratyush,1989-03-05,1,8,0,2022-03-12
40,18,152,3,3,KGID22833,Faraj,1982-05-15,1,2,0,2012-07-17
41,9,84,1,1,KGID31798,Krishna,1988-07-04,2,4,0,2024-11-11
42,4,28,1,2,KGID17685,Wyatt,1983-05-15,1,7,0,2021-05-16
43,17,144,4,2,KGID69638,Krish,1978-07-08,2,3,0,2014-11-26
44,5,42,2,1,KGID48890,Caleb,1977-01-15,1,1,0,2021-11-21
45,10,91,6,3,KGID51104,Jairaj,1993-01-31,2,3,0,2022-05-13
46,5,33,5,1,KGID76562,Ranveer,1978-12-30,1,2,0,2007-07-12
47,12,102,2,3,KGID18907,Yug,1996-07-03,1,7,0,2017-08-11
48,6,62,1,1,KGID84668,Gavin,1984-02-21,1,2,0,2013-10-08
49,5,58,3,2,KGID96163,Peter,1994-09-12,2,5,0,2015-05-05
50,22,185,5,1,KGID97782,Onkar,1977-01-24,1,5,0,2015-12-14
51,11,94,6,2,KGID27154,Abdul,1985-02-16,2,8,0,2013-01-19
52,14,119,2,2,KGID19508,Brijesh,1975-10-06,1,2,0,2020-05-18
53,19,160,2,3,KGID37938,Yash,1986-06-10,1,6,0,2014-09-23
54,27,226,3,1,KGID42018,Wazir,1989-07-12,1,8,0,2023-04-02
55,5,40,5,3,KGID49651,Udarsh,1994-07-13,1,5,0,2007-02-20
56,19,161,6,3,KGID23577,Charita,1977-07-24,1,5,0,2014-02-02
57,26,222,1,1,KGID24029,Samaksh,1991-02-02,1,5,0,2014-10-30
58,22,180,1,2,KGID89276,Michael,1990-02-21,2,4,0,2019-02-09
59,29,242,5,3,KGID93130,Vritti,1986-05-20,2,5,0,2024-08-13
60,10,90,6,1,KGID22097,Orinder,1982-01-10,2,1,0,2025-04-11
61,7,66,1,1,KGID53719,Noah,1979-07-10,2,3,0,2021-12-27
62,12,99,4,3,KGID67912,Krishna,1977-12-25,2,1,0,2015-02-08
63,4,27,3,1,KGID19862,Kala,1971-08-28,1,1,0,2013-02-07
64,9,85,2,2,KGID86350,Nakul,1971-08-14,2,3,0,2024-10-13
65,30,250,4,1,KGID50404,George,1974-01-25,1,6,0,2013-11-30
66,5,44,4,1,KGID99399,Wyatt,1976-12-16,1,6,0,2024-05-26
67,27,228,4,3,KGID63264,Megha,2000-11-29,1,4,0,2009-12-21
68,5,55,1,1,KGID33206,Indali,1977-08-18,1,3,0,2014-04-17
69,3,15,1,3,KGID53540,Pranit,1973-08-28,2,4,0,2016-11-01
70,18,152,2,2,KGID30866,Abhimanyu,1991-08-22,1,7,0,2024-09-21
71,18,149,6,1,KGID71694,Dev,1976-11-19,2,6,0,2008-02-06
72,31,257,4,2,KGID39831,Avi,1986-05-18,1,7,0,2016-06-28
73,25,207,2,2,KGID46517,Edhitha,1989-04-03,2,6,0,2023-04-03
74,31,257,2,3,KGID76768,Charan,1997-03-30,2,1,0,2006-12-20
